date,year,month,city_tax_collections_non_vehicle_sales,city_vehicle_sales_tax_collections,city_total_tax_collections,parish_tax_collections_non_vehicle_sales_taxes,parish_vehicle_tax_collections,parish_total_tax_collections,city_parish_total_non_vehicle_sales_taxes,city_parish_vehicle_sales_tax_collections,city_parish_total_tax_collections
2016-12-01,2016,December,10337019,930247,11267266,7693078,1011731,8704809,18030097,1941978,19972075
2016-08-01,2016,August,7862089,530943,8393032,5911237,665177,6576414,13773326,1196120,14969446
2016-07-01,2016,July,7190158,531102,7721260,5686452,669958,6356410,12876610,1201060,14077670
2016-06-01,2016,June,7927529,655368,8582897,6290263,763118,7053381,14217792,1418486,15636278
2016-05-01,2016,May,7693124,603885,8297009,5914779,659369,6574148,13607903,1263254,14871157
2016-04-01,2016,April,7850191,661494,8511685,5989784,680611,6670395,13839975,1342105,15182080
2016-03-01,2016,March,8522406,695320,9217726,6567225,729349,7296574,15089631,1424669,16514300
2016-02-01,2016,February,7458395,602694,8061089,5872754,587192,6459946,13331149,1189886,14521035
2016-01-01,2016,January,7276341,579746,7856087,5671850,694755,6366605,12948191,1274501,14222692
2015-12-01,2015,December,9240123,605428,9845551,7236272,756306,7992578,16476395,1361734,17838129
2015-11-01,2015,November,7749214,491487,8240701,5971299,537100,6508399,13720513,1028587,14749100
2015-10-01,2015,October,8132311,623533,8755844,5835930,704374,6540304,13968241,1327907,15296148
2015-09-01,2015,September,8126588,657096,8783684,6286584,736761,7023345,14413172,1393857,15807029
2015-08-01,2015,August,7825061,646691,8471752,5841421,698989,6540410,13666482,1345680,15012162
2015-07-01,2015,July,8002893,669703,8672596,6032133,707723,6739856,14035026,1377426,15412452
2015-06-01,2015,June,8072206,643530,8715736,6497153,697759,7194912,14569359,1341289,15910648
2015-05-01,2015,May,7898490,634635,8533125,5876077,720165,6596242,13774567,1354800,15129367
2015-04-01,2015,April,7711478,737295,8448773,5708201,733552,6441753,13419679,1470847,14890526
2015-03-01,2015,March,8475512,696301,9171813,6610643,586678,7197321,15086155,1282979,16369134
2015-02-01,2015,February,7455498,591274,8046772,5705054,587899,6292953,13160552,1179173,14339725
2015-01-01,2015,January,7447654,597396,8045050,5494707,713783,6208490,12942361,1311179,14253540
2014-12-01,2014,December,9026905,595203,9622108,7024562,659344,7683906,16051467,1254547,17306014
2014-11-01,2014,November,7418239,497877,7916116,5782490,517522,6300012,13200729,1015399,14216128
2014-10-01,2014,October,7816150,625613,8441763,6083079,709611,6792690,13899229,1335224,15234453
2014-09-01,2014,September,7793501,656971,8450472,6399280,703414,7102694,14192781,1360385,15553166
2014-08-01,2014,August,7651135,662159,8313294,5850634,615031,6465665,13501769,1277190,14778959
2014-07-01,2014,July,7439846,645701,8085547,6210916,612674,6823590,13650762,1258375,14909137
2014-06-01,2014,June,7564269,597939,8162208,6238327,734448,6972775,13802596,1332387,15134983
2014-05-01,2014,May,7641320,615875,8257195,6483065,701411,7184476,14124385,1317286,15441671
2014-04-01,2014,April,7344863,635360,7980223,6181464,665245,6846709,13526327,1300605,14826932
2014-03-01,2014,March,7903170,686193,8589363,6347481,643203,6990684,14250651,1329396,15580047
2014-02-01,2014,February,6926047,570972,7497019,5801950,590035,6391985,12727997,1161007,13889004
2014-01-01,2014,January,6504405,519768,7024173,5535827,610371,6146198,12040232,1130139,13170371
2013-12-01,2013,December,8037073,478100,8515173,7828312,602737,8431049,15865385,1080837,16946222
2013-11-01,2013,November,7014546,470545,7485091,6098337,564410,6662747,13112883,1034955,14147838
2013-10-01,2013,October,7117053,588989,7706042,6206278,596459,6802737,13323331,1185448,14508779
2013-09-01,2013,September,7188327,556254,7744581,6066011,612629,6678640,13254338,1168883,14423221
2013-08-01,2013,August,7096713,597304,7694017,6163666,661082,6824748,13260379,1258386,14518765
2013-07-01,2013,July,6714742,650041,7364783,6433051,645505,7078556,13147793,1295546,14443339
2013-06-01,2013,June,7169538,536713,7706251,6337652,618519,6956171,13507190,1155232,14662422
2013-05-01,2013,May,7183875,633325,7817200,6165387,633630,6799017,13349262,1266955,14616217
2013-04-01,2013,April,7218205,654558,7872763,6281981,618812,6900793,13500186,1273370,14773556
2013-03-01,2013,March,7548425,625994,8174419,6622485,636947,7259432,14170910,1262941,15433851
2013-02-01,2013,February,6511597,538262,7049859,5471888,532706,6004594,11983485,1070968,13054453
2013-01-01,2013,January,6203537,598704,6802241,5864095,639103,6503198,12067632,1237807,13305439
2012-12-01,2012,December,7829067,419757,8248824,7409409,495481,7904890,15238476,915238,16153714
2012-11-01,2012,November,6801080,479362,7280442,6650062,525436,7175498,13451142,1004798,14455940
2012-10-01,2012,October,6967481,534896,7502377,5987294,644584,6631878,12954775,1179480,14134255
2012-09-01,2012,September,6949084,474967,7424051,5726965,511173,6238138,12676049,986140,13662189
2012-08-01,2012,August,6742499,469931,7212430,6176962,530535,6707497,12919461,1000466,13919927
2012-07-01,2012,July,6685490,539847,7225337,6066402,566909,6633311,12751892,1106756,13858648
2012-06-01,2012,June,7210849,568054,7778903,6710028,591366,7301394,13920877,1159420,15080297
2012-05-01,2012,May,7098494,534985,7633479,6902470,568114,7470584,14000964,1103099,15104063
2012-04-01,2012,April,6750509,550047,7300556,6520207,554159,7074366,13270716,1104206,14374922
2012-03-01,2012,March,7778204,602206,8380410,6547134,559604,7106738,14325338,1161810,15487148
2012-02-01,2012,February,6965342,461657,7426999,5571320,455095,6026415,12536662,916752,13453414
2012-01-01,2012,January,6408526,482779,6891305,5619013,591714,6210727,12027539,1074493,13102032
2011-12-01,2011,December,7921877,396054,8317931,7555164,510792,8065956,15477041,906846,16383887
2011-11-01,2011,November,6555581,408328,6963909,6065292,464153,6529445,12620873,872481,13493354
2011-10-01,2011,October,6768010,467415,7235425,5454402,454791,5909193,12222412,922206,13144618
2011-09-01,2011,September,7040433,513911,7554344,5518820,508927,6027747,12559253,1022838,13582091
2011-08-01,2011,August,6818250,530500,7348750,6001505,497615,6499120,12819755,1028115,13847870
2011-07-01,2011,July,6326828,494400,6821228,5493024,490143,5983167,11819852,984543,12804395
2011-06-01,2011,June,6895609,493145,7388754,5988173,407832,6396005,12883782,900977,13784759
2011-05-01,2011,May,6543957,464669,7008626,5798631,486307,6284938,12342588,950976,13293564
2011-04-01,2011,April,6636660,477515,7114175,5505996,475884,5981880,12142656,953399,13096055
2011-03-01,2011,March,7351188,519035,7870223,6043978,510096,6554074,13395166,1029131,14424297
2011-02-01,2011,February,6318326,391833,6710159,5280125,427448,5707573,11598451,819281,12417732
